,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4035,DOGE,0.0,-0.00603072,999.99396928,0.0,999.99396928,1.0,8725.0,0.003456,8725.0,0.003456,entry_initial_normal_long
1,4383,DOGE,0.2966500000000015,-0.0060900500000000005,1000.28452923,0.0,1000.28452923,1.0,-8725.0,0.00349,0.0,0.003456,close_grid_long
2,4385,DOGE,0.0,-0.006032411,1000.278496819,0.0,1000.278496819,1.0,8635.0,0.003493,8635.0,0.003493,entry_initial_normal_long
3,5120,DOGE,0.233145000000001,-0.006079040000000001,1000.505562779,0.0,1000.505562779,1.0,-8635.0,0.00352,0.0,0.003493,close_grid_long
4,5121,DOGE,0.0,-0.006033370000000001,1000.499529409,0.0,1000.499529409,1.0,8575.0,0.003518,8575.0,0.003518,entry_initial_normal_long
5,5216,DOGE,0.274400000000003,-0.00608825,1000.767841159,0.0,1000.767841159,1.0,-8575.0,0.00355,0.0,0.003518,close_grid_long
6,5221,DOGE,0.0,-0.006034888,1000.761806271,0.0,1000.761806271,1.0,8548.0,0.00353,8548.0,0.00353,entry_initial_normal_long
7,5942,DOGE,0.25643999999999695,-0.0060861759999999996,1001.0121600949999,0.0,1001.0121600949999,1.0,-8548.0,0.00356,0.0,0.00353,close_grid_long
8,5959,DOGE,0.0,-0.006036420000000001,1001.0061236749999,0.0,1001.0061236749999,1.0,8502.0,0.00355,8502.0,0.00355,entry_initial_normal_long
9,6091,DOGE,0.25505999999999696,-0.006087432,1001.2550962429999,0.0,1001.2550962429999,1.0,-8502.0,0.00358,0.0,0.00355,close_grid_long
10,6099,DOGE,0.0,-0.00603776,1001.2490584829999,0.0,1001.2490584829999,1.0,8480.0,0.00356,8480.0,0.00356,entry_initial_normal_long
11,6360,DOGE,0.0,-0.00717556,1001.2418829229999,0.0,1001.2418829229999,1.0,10460.0,0.00343,18940.0,0.003488204857444562,entry_grid_normal_long
12,9690,DOGE,0.6021999999999995,-0.013333760000000002,1001.830749163,0.0,1001.830749163,1.0,-18940.0,0.00352,0.0,0.003488204857444562,close_grid_long
13,9708,DOGE,0.0,-0.006041190000000001,1001.8247079729999,0.0,1001.8247079729999,1.0,8655.0,0.00349,8655.0,0.00349,entry_initial_normal_long
