,balance,equity,balance_btc,equity_btc
0,9999.99396928,10000.0,0.0,0.0
60,9999.99396928,10000.0,0.0,0.0
120,9999.99396928,10000.0,0.0,0.0
180,9999.99396928,10000.0,0.0,0.0
240,9999.99396928,10000.0,0.0,0.0
300,9999.99396928,10000.0,0.0,0.0
360,9999.99396928,10000.0,0.0,0.0
420,9999.99396928,10000.0,0.0,0.0
480,9999.99396928,10000.0,0.0,0.0
540,9999.99396928,10000.0,0.0,0.0
600,9999.99396928,10000.0,0.0,0.0
660,9999.99396928,10000.0,0.0,0.0
720,9999.99396928,10000.0,0.0,0.0
780,9999.99396928,10000.0,0.0,0.0
840,9999.99396928,10000.0,0.0,0.0
900,9999.99396928,10000.0,0.0,0.0
960,9999.99396928,10000.0,0.0,0.0
1020,9999.99396928,10000.0,0.0,0.0
1080,9999.99396928,10000.0,0.0,0.0
1140,9999.99396928,10000.0,0.0,0.0
1200,9999.99396928,10000.0,0.0,0.0
1260,9999.99396928,10000.0,0.0,0.0
1320,9999.99396928,10000.0,0.0,0.0
1380,9999.99396928,10000.0,0.0,0.0
1440,9999.99396928,10000.0,0.0,0.0
1500,9999.99396928,10000.0,0.0,0.0
1560,9999.99396928,10000.0,0.0,0.0
1620,9999.99396928,10000.0,0.0,0.0
1680,9999.99396928,10000.0,0.0,0.0
1740,9999.99396928,10000.0,0.0,0.0
1800,9999.99396928,10000.0,0.0,0.0
1860,9999.99396928,10000.0,0.0,0.0
1920,9999.99396928,10000.0,0.0,0.0
1980,9999.99396928,10000.0,0.0,0.0
2040,9999.99396928,10000.0,0.0,0.0
2100,9999.99396928,10000.0,0.0,0.0
2160,9999.99396928,10000.0,0.0,0.0
2220,9999.99396928,10000.0,0.0,0.0
2280,9999.99396928,10000.0,0.0,0.0
2340,9999.99396928,10000.0,0.0,0.0
2400,9999.99396928,10000.0,0.0,0.0
2460,9999.99396928,10000.0,0.0,0.0
2520,9999.99396928,10000.0,0.0,0.0
2580,9999.99396928,10000.0,0.0,0.0
2640,9999.99396928,10000.0,0.0,0.0
2700,9999.99396928,10000.0,0.0,0.0
2760,9999.99396928,10000.0,0.0,0.0
2820,9999.99396928,10000.0,0.0,0.0
2880,9999.99396928,10000.0,0.0,0.0
2940,9999.99396928,10000.0,0.0,0.0
3000,9999.99396928,10000.0,0.0,0.0
3060,9999.99396928,10000.0,0.0,0.0
3120,9999.99396928,10000.0,0.0,0.0
3180,9999.99396928,10000.0,0.0,0.0
3240,9999.99396928,10000.0,0.0,0.0
3300,9999.99396928,10000.0,0.0,0.0
3360,9999.99396928,10000.0,0.0,0.0
3420,9999.99396928,10000.0,0.0,0.0
3480,9999.99396928,10000.0,0.0,0.0
3540,9999.99396928,10000.0,0.0,0.0
3600,9999.99396928,10000.0,0.0,0.0
3660,9999.99396928,10000.0,0.0,0.0
