,balance,equity,balance_btc,equity_btc
0,1000.4221671361998,1000.0,0.0,0.0
60,1000.4221671361998,1000.0,0.0,0.0
120,1000.4221671361998,1000.0,0.0,0.0
180,1000.4221671361998,1000.0,0.0,0.0
240,1000.4221671361998,1000.0,0.0,0.0
300,1000.4221671361998,1000.0,0.0,0.0
360,1000.4221671361998,1000.0,0.0,0.0
420,1000.4221671361998,1000.0,0.0,0.0
480,1000.4221671361998,1000.0,0.0,0.0
540,1000.4221671361998,1000.0,0.0,0.0
600,1000.4221671361998,1000.0,0.0,0.0
660,1000.4221671361998,1000.0,0.0,0.0
720,1000.4221671361998,1000.0,0.0,0.0
780,1000.4221671361998,1000.0,0.0,0.0
840,1000.4221671361998,1000.0,0.0,0.0
900,1000.4221671361998,1000.0,0.0,0.0
960,1000.4221671361998,1000.0,0.0,0.0
1020,1000.4221671361998,1000.0,0.0,0.0
1080,1000.4221671361998,1000.0,0.0,0.0
1140,1000.4221671361998,1000.0,0.0,0.0
1200,1000.4221671361998,1000.0,0.0,0.0
1260,1000.4221671361998,1000.0,0.0,0.0
1320,1000.4221671361998,1000.0,0.0,0.0
1380,1000.4221671361998,1000.0,0.0,0.0
1440,1000.4221671361998,1000.0,0.0,0.0
1500,1000.4221671361998,1000.0,0.0,0.0
1560,1000.4221671361998,1000.0,0.0,0.0
1620,1000.4221671361998,1000.0,0.0,0.0
1680,1000.4221671361998,1000.0,0.0,0.0
1740,1000.4221671361998,1000.0,0.0,0.0
1800,1000.4221671361998,1000.0,0.0,0.0
1860,1000.4221671361998,1000.0,0.0,0.0
1920,1000.4221671361998,1000.0,0.0,0.0
1980,1000.4221671361998,1000.0,0.0,0.0
2040,1000.4221671361998,1000.0,0.0,0.0
2100,1000.4221671361998,1000.0,0.0,0.0
2160,1000.4221671361998,1000.0,0.0,0.0
2220,1000.4221671361998,1000.0,0.0,0.0
2280,1000.4221671361998,1000.0,0.0,0.0
2340,1000.4221671361998,1000.0,0.0,0.0
2400,1000.4221671361998,1000.0,0.0,0.0
2460,1000.4221671361998,1000.0,0.0,0.0
2520,1000.4221671361998,1000.0,0.0,0.0
2580,1000.4221671361998,1000.0,0.0,0.0
2640,1000.4221671361998,1000.0,0.0,0.0
2700,1000.4221671361998,1000.0,0.0,0.0
2760,1000.4221671361998,1000.0,0.0,0.0
2820,1000.4221671361998,1000.0,0.0,0.0
2880,1000.4221671361998,1000.0,0.0,0.0
2940,1000.4221671361998,1000.0,0.0,0.0
3000,1000.4221671361998,1000.0,0.0,0.0
3060,1000.4221671361998,1000.0,0.0,0.0
3120,1000.4221671361998,1000.0,0.0,0.0
3180,1000.4221671361998,1000.0,0.0,0.0
3240,1000.4221671361998,1000.0,0.0,0.0
3300,1000.4221671361998,1000.0,0.0,0.0
3360,1000.4221671361998,1000.0,0.0,0.0
3420,1000.4221671361998,1000.0,0.0,0.0
3480,1000.4221671361998,1000.0,0.0,0.0
3540,1000.4221671361998,1000.0,0.0,0.0
3600,1000.4221671361998,1000.0,0.0,0.0
3660,1000.4221671361998,1000.0,0.0,0.0
3720,1000.4221671361998,1000.0,0.0,0.0
3780,1000.4221671361998,1000.0,0.0,0.0
3840,1000.4221671361998,1000.0,0.0,0.0
3900,1000.4221671361998,1000.0,0.0,0.0
3960,1000.4221671361998,1000.0,0.0,0.0
4020,1000.4221671361998,1000.0,0.0,0.0
4080,1000.3918379327998,1000.3342551361999,0.0,-0.08791199999999896
4140,1004.0376291485999,998.5494359327997,0.0,-1.8424020000000578
4200,1004.2450918283998,1004.0220731485999,0.0,-0.015555999999998692
4260,1004.2361445747998,1003.9404678283998,0.0,-0.30462399999999695
4320,1005.1668256823999,1004.5344825747999,0.0,0.2983380000000055
4380,1005.8996106705998,1005.0445516823999,0.0,-0.1222740000000045
4440,1005.8422793503998,1005.9970106705998,0.0,0.0973999999999994
4500,1009.1752168443999,1003.5361663503999,0.0,-2.3061130000000025
4560,1009.3846701253999,1009.0758808443999,0.0,-0.09933599999999883
4620,1009.3756776188,1008.9204661253999,0.0,-0.46420400000000106
4680,1009.3600666571999,1009.8233336188,0.0,0.4476560000000011
4740,1011.5998886469998,1007.4076886572,0.0,-1.9523779999999773
4800,1012.0303675173999,1010.8575506469998,0.0,-0.7423380000000003
4860,1012.0153517974,1011.4875330645999,0.0,-0.5368320000000057
4920,1012.0153517974,1011.1569677974,0.0,-0.858384000000002
4980,1012.9692087382,1011.2897717973999,0.0,-0.7255799999999972
5040,1012.9692087382,1012.9398507382,0.0,-0.02935800000000026
5100,1012.954176119,1012.8014487382,0.0,-0.16776000000000044
5160,1012.8508392568,1012.169572119,0.0,-0.7846039999999923
5220,1017.015798648,1004.6057922568001,0.0,-8.24504699999991
5280,1018.6360005467998,1016.4302278618001,0.0,-0.5765130000000027
5340,1020.0264061321997,1019.3805316217998,0.0,0.0
5400,1020.8933722389994,1020.2511909005997,0.0,0.0
5460,1022.2068729351994,1021.3339223629994,0.0,0.0
5520,1022.4256817031994,1022.2068729351994,0.0,0.0
5580,1023.1411978349994,1022.4256817031994,0.0,0.0
5640,1023.3552693315994,1022.9585098349994,0.0,-0.18268799999999905
5700,1023.3303449717995,1023.4419363315994,0.0,0.08666700000000792
5760,1023.3030671197995,1020.8471009717995,0.0,-2.483243999999986
5820,1023.3030671197995,1018.3160421197995,0.0,-4.987025000000001
5880,1023.3030671197995,1013.0139481197995,0.0,-10.289119000000003
5940,1023.3030671197995,1018.1812431197994,0.0,-5.121824000000019
6000,1023.3030671197995,1021.5961511197995,0.0,-1.7069159999999943
6060,1023.3030671197995,1019.3944341197995,0.0,-3.908633000000014
6120,1025.8741175833995,1021.0569551197995,0.0,-2.2461120000000268
6180,1026.0875083581996,1025.8193095833994,0.0,-0.05480799999999996
6240,1026.0625200395996,1025.2609763581995,0.0,-0.8265319999999999
6300,1027.3343100595996,1025.2117130395995,0.0,-0.8508069999999814
6360,1027.3343100595996,1026.8914100595996,0.0,-0.4428999999999991
6420,1027.3343100595996,1027.1322100595996,0.0,-0.20210000000000072
6480,1027.7659866487995,1027.5602767795997,0.0,0.0
6540,1027.7568390087995,1027.0871066487996,0.0,-0.6788799999999944
6600,1028.4925331399995,1027.4217390087995,0.0,-0.3351000000000055
6660,1029.3673693415994,1027.8707731399995,0.0,-0.6217600000000044
6720,1029.5889467645993,1029.3673693415994,0.0,0.0
6780,1029.5889467645993,1029.5889467645993,0.0,0.0
6840,1029.5827450305994,1029.5889467645993,0.0,0.0
6900,1029.5827450305994,1029.4006400305993,0.0,-0.18210500000000213
6960,1029.5827450305994,1029.5234550305995,0.0,-0.05929000000000052
7020,1029.5766407015994,1029.2820600305995,0.0,-0.3006850000000032
7080,1030.0111857435993,1029.2590157015995,0.0,-0.31762500000000177
7140,1030.2383008045992,1030.0154287435994,0.0,0.004243000000000563
7200,1030.2320954541992,1030.2383008045992,0.0,0.0
7260,1030.2320954541992,1029.9357154541992,0.0,-0.29638000000000264
7320,1030.2320954541992,1029.9865234541992,0.0,-0.24557199999999954
7380,1030.2320954541992,1030.1262454541993,0.0,-0.10585000000000303
7440,1030.2259874857991,1029.9187794541992,0.0,-0.3133160000000012
7500,1030.2168185865992,1029.2902734857992,0.0,-0.935714000000003
