,balance,equity,balance_btc,equity_btc
0,1000.3521840253999,1000.0,0.0,0.0
60,1000.3521840253999,1000.0,0.0,0.0
120,1000.3521840253999,1000.0,0.0,0.0
180,1000.3521840253999,1000.0,0.0,0.0
240,1000.3521840253999,1000.0,0.0,0.0
300,1000.3521840253999,1000.0,0.0,0.0
360,1000.3521840253999,1000.0,0.0,0.0
420,1000.3521840253999,1000.0,0.0,0.0
480,1000.3521840253999,1000.0,0.0,0.0
540,1000.3521840253999,1000.0,0.0,0.0
600,1000.3521840253999,1000.0,0.0,0.0
660,1000.3521840253999,1000.0,0.0,0.0
720,1000.3521840253999,1000.0,0.0,0.0
780,1000.3521840253999,1000.0,0.0,0.0
840,1000.3521840253999,1000.0,0.0,0.0
900,1000.3521840253999,1000.0,0.0,0.0
960,1000.3521840253999,1000.0,0.0,0.0
1020,1000.3521840253999,1000.0,0.0,0.0
1080,1000.3521840253999,1000.0,0.0,0.0
1140,1000.3521840253999,1000.0,0.0,0.0
1200,1000.3521840253999,1000.0,0.0,0.0
1260,1000.3521840253999,1000.0,0.0,0.0
1320,1000.3521840253999,1000.0,0.0,0.0
1380,1000.3521840253999,1000.0,0.0,0.0
1440,1000.3521840253999,1000.0,0.0,0.0
1500,1000.3521840253999,1000.0,0.0,0.0
1560,1000.3521840253999,1000.0,0.0,0.0
1620,1000.3521840253999,1000.0,0.0,0.0
1680,1000.3521840253999,1000.0,0.0,0.0
1740,1000.3521840253999,1000.0,0.0,0.0
1800,1000.3521840253999,1000.0,0.0,0.0
1860,1000.3521840253999,1000.0,0.0,0.0
1920,1000.3521840253999,1000.0,0.0,0.0
1980,1000.3521840253999,1000.0,0.0,0.0
2040,1000.3521840253999,1000.0,0.0,0.0
2100,1000.3521840253999,1000.0,0.0,0.0
2160,1000.3521840253999,1000.0,0.0,0.0
2220,1000.3521840253999,1000.0,0.0,0.0
2280,1000.3521840253999,1000.0,0.0,0.0
2340,1000.3521840253999,1000.0,0.0,0.0
2400,1000.3521840253999,1000.0,0.0,0.0
2460,1000.3521840253999,1000.0,0.0,0.0
2520,1000.3521840253999,1000.0,0.0,0.0
2580,1000.3521840253999,1000.0,0.0,0.0
2640,1000.3521840253999,1000.0,0.0,0.0
2700,1000.3521840253999,1000.0,0.0,0.0
2760,1000.3521840253999,1000.0,0.0,0.0
2820,1000.3521840253999,1000.0,0.0,0.0
2880,1000.3521840253999,1000.0,0.0,0.0
2940,1000.3521840253999,1000.0,0.0,0.0
3000,1000.3521840253999,1000.0,0.0,0.0
3060,1000.3521840253999,1000.0,0.0,0.0
3120,1000.3521840253999,1000.0,0.0,0.0
3180,1000.3521840253999,1000.0,0.0,0.0
3240,1000.3521840253999,1000.0,0.0,0.0
3300,1000.3521840253999,1000.0,0.0,0.0
3360,1000.3521840253999,1000.0,0.0,0.0
3420,1000.3521840253999,1000.0,0.0,0.0
3480,1000.3521840253999,1000.0,0.0,0.0
3540,1000.3521840253999,1000.0,0.0,0.0
3600,1000.3521840253999,1000.0,0.0,0.0
3660,1000.3521840253999,1000.0,0.0,0.0
3720,1000.3521840253999,1000.0,0.0,0.0
3780,1000.3521840253999,1000.0,0.0,0.0
3840,1000.3521840253999,1000.0,0.0,0.0
3900,1000.3521840253999,1000.0,0.0,0.0
3960,1000.3521840253999,1000.0,0.0,0.0
4020,1000.3521840253999,1000.0,0.0,0.0
4080,1001.6313199078,1000.2568080253999,0.0,-0.09537599999999888
4140,1003.6954067647998,1001.4182759078001,0.0,-0.21304399999999984
4200,1003.8088466735999,1003.6490527647999,0.0,-0.04635399999999884
4260,1003.8088466735999,1003.6458466735999,0.0,-0.16299999999999631
4320,1004.1958200601998,1003.6458466735999,0.0,-0.16299999999999631
4380,1004.4658021873998,1003.8372390601999,0.0,-0.35858099999999893
4440,1004.3972240145998,1004.5248121873998,0.0,0.059009999999996864
4500,1006.0708336669998,1000.7381600145998,0.0,-3.659064000000023
4560,1006.1914572269997,1005.8389136669998,0.0,-0.23191999999999985
4620,1006.8857961329995,1005.6938412269997,0.0,-0.49761600000000056
4680,1006.8775154285995,1006.9578921329995,0.0,0.07209599999999784
4740,1007.6932256301994,1005.9734324285995,0.0,-0.904083000000014
4800,1008.2003814181994,1007.0217426301995,0.0,-0.6714830000000029
4860,1008.1734263029994,1007.6118714181994,0.0,-0.5885099999999995
4920,1008.7649336805993,1007.8613963029993,0.0,-0.3120300000000395
4980,1009.2518980937992,1008.4024026805993,0.0,-0.3625310000000004
5040,1009.2518980937992,1009.2201670937992,0.0,-0.03173100000000028
5100,1009.2436009881992,1009.0705780937992,0.0,-0.18132000000000048
5160,1009.1279725101992,1008.3457229881992,0.0,-0.8978780000000064
