,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4034,CRV,0.0,-0.007724400000000002,999.9922756,0.0,999.9922756,1.0,24.6,1.57,24.6,1.57,entry_initial_normal_long
1,4093,CRV,0.1968000000000002,-0.007763760000000001,1000.1813118399999,0.0,1000.1813118399999,1.0,-24.6,1.578,0.0,1.57,close_grid_long
2,4094,CRV,0.0,-0.0077104,1000.17360144,0.0,1000.17360144,1.0,24.4,1.58,24.4,1.58,entry_initial_normal_long
3,4095,CRV,0.19520000000000015,-0.007749440000000001,1000.361052,0.0,1000.361052,1.0,-24.4,1.588,0.0,1.58,close_grid_long
4,4096,CRV,0.0,-0.007714960000000001,1000.3533370399999,0.0,1000.3533370399999,1.0,24.2,1.594,24.2,1.594,entry_initial_normal_long
5,4249,CRV,0.0,-0.007080920000000001,1000.3462561199999,0.0,1000.3462561199999,1.0,24.2,1.463,48.4,1.5285000000000002,entry_grid_normal_long
6,4250,CRV,0.0,-0.00738608,1000.33887004,0.0,1000.33887004,1.0,26.8,1.378,75.2,1.4748643617021275,entry_grid_normal_long
7,4346,CRV,0.0,-0.007606280000000002,1000.33126376,0.0,1000.33126376,1.0,29.3,1.298,104.5,1.4252746411483252,entry_grid_normal_long
8,4761,CRV,0.7028000000000051,-0.029928800000000002,1001.00413496,0.0,1001.00413496,1.0,-104.5,1.432,0.0,1.4252746411483252,close_grid_long
9,4762,CRV,0.0,-0.007727400000000001,1000.99640756,0.0,1000.99640756,1.0,27.0,1.431,27.0,1.431,entry_initial_normal_long
10,4763,CRV,0.18899999999999717,-0.007765200000000001,1001.1776423599999,0.0,1001.1776423599999,1.0,-27.0,1.438,0.0,1.431,close_grid_long
11,4765,CRV,0.0,-0.00773232,1001.16991004,0.0,1001.16991004,1.0,26.7,1.448,26.7,1.448,entry_initial_normal_long
12,4774,CRV,0.18690000000000312,-0.007769700000000001,1001.34904034,0.0,1001.34904034,1.0,-26.7,1.455,0.0,1.448,close_grid_long
13,4776,CRV,0.0,-0.007724640000000001,1001.3413157,0.0,1001.3413157,1.0,26.6,1.452,26.6,1.452,entry_initial_normal_long
14,4779,CRV,0.18620000000000314,-0.007761880000000001,1001.51975382,0.0,1001.51975382,1.0,-26.6,1.459,0.0,1.452,close_grid_long
15,4780,CRV,0.0,-0.0077327,1001.51202112,0.0,1001.51202112,1.0,26.5,1.459,26.5,1.459,entry_initial_normal_long
16,5296,CRV,0.0,-0.0069695,1001.50505162,0.0,1001.50505162,1.0,26.5,1.315,53.0,1.387,entry_grid_normal_long
17,5386,CRV,0.0,-0.007693000000000001,1001.49735862,0.0,1001.49735862,1.0,31.4,1.225,84.4,1.3267298578199052,entry_grid_normal_long
18,5793,CRV,0.6136000000000111,-0.022517920000000004,1002.0884407,0.0,1002.0884407,1.0,-84.4,1.334,0.0,1.3267298578199052,close_grid_long
19,5794,CRV,0.0,-0.007718400000000001,1002.0807222999999,0.0,1002.0807222999999,1.0,28.8,1.34,28.8,1.34,entry_initial_normal_long
20,5795,CRV,0.20159999999999698,-0.00775872,1002.27456358,0.0,1002.27456358,1.0,-28.8,1.347,0.0,1.34,close_grid_long
21,5796,CRV,0.0,-0.007718400000000001,1002.2668451799999,0.0,1002.2668451799999,1.0,28.8,1.34,28.8,1.34,entry_initial_normal_long
22,5801,CRV,0.20159999999999698,-0.00775872,1002.4606864599999,0.0,1002.4606864599999,1.0,-28.8,1.347,0.0,1.34,close_grid_long
23,5882,CRV,0.0,-0.00773178,1002.45295468,0.0,1002.45295468,1.0,28.7,1.347,28.7,1.347,entry_initial_normal_long
24,5917,CRV,0.20090000000000335,-0.0077719600000000005,1002.64608272,0.0,1002.64608272,1.0,-28.7,1.354,0.0,1.347,close_grid_long
25,5919,CRV,0.0,-0.007737520000000001,1002.6383452,0.0,1002.6383452,1.0,28.7,1.348,28.7,1.348,entry_initial_normal_long
26,5921,CRV,0.200899999999997,-0.0077777,1002.8314675,0.0,1002.8314675,1.0,-28.7,1.355,0.0,1.348,close_grid_long
27,5923,CRV,0.0,-0.007737520000000001,1002.82372998,0.0,1002.82372998,1.0,28.7,1.348,28.7,1.348,entry_initial_normal_long
28,6897,CRV,0.200899999999997,-0.0077777,1003.0168522800001,0.0,1003.0168522800001,1.0,-28.7,1.355,0.0,1.348,close_grid_long
29,7120,CRV,0.0,-0.007734780000000001,1003.0091175000001,0.0,1003.0091175000001,1.0,29.1,1.329,29.1,1.329,entry_initial_normal_long
30,7121,CRV,0.20370000000000343,-0.00777552,1003.2050419800001,0.0,1003.2050419800001,1.0,-29.1,1.336,0.0,1.329,close_grid_long
31,7126,CRV,0.0,-0.007734780000000001,1003.1973072000002,0.0,1003.1973072000002,1.0,29.1,1.329,29.1,1.329,entry_initial_normal_long
