,balance,equity,balance_btc,equity_btc
0,999.9917042176,1000.0,0.0,0.0
60,999.9917042176,1000.0,0.0,0.0
120,999.9917042176,1000.0,0.0,0.0
180,999.9917042176,1000.0,0.0,0.0
240,999.9917042176,1000.0,0.0,0.0
300,999.9917042176,1000.0,0.0,0.0
360,999.9917042176,1000.0,0.0,0.0
420,999.9917042176,1000.0,0.0,0.0
480,999.9917042176,1000.0,0.0,0.0
540,999.9917042176,1000.0,0.0,0.0
600,999.9917042176,1000.0,0.0,0.0
660,999.9917042176,1000.0,0.0,0.0
720,999.9917042176,1000.0,0.0,0.0
780,999.9917042176,1000.0,0.0,0.0
840,999.9917042176,1000.0,0.0,0.0
900,999.9917042176,1000.0,0.0,0.0
960,999.9917042176,1000.0,0.0,0.0
1020,999.9917042176,1000.0,0.0,0.0
1080,999.9917042176,1000.0,0.0,0.0
1140,999.9917042176,1000.0,0.0,0.0
1200,999.9917042176,1000.0,0.0,0.0
1260,999.9917042176,1000.0,0.0,0.0
1320,999.9917042176,1000.0,0.0,0.0
1380,999.9917042176,1000.0,0.0,0.0
1440,999.9917042176,1000.0,0.0,0.0
1500,999.9917042176,1000.0,0.0,0.0
1560,999.9917042176,1000.0,0.0,0.0
1620,999.9917042176,1000.0,0.0,0.0
1680,999.9917042176,1000.0,0.0,0.0
1740,999.9917042176,1000.0,0.0,0.0
1800,999.9917042176,1000.0,0.0,0.0
1860,999.9917042176,1000.0,0.0,0.0
1920,999.9917042176,1000.0,0.0,0.0
1980,999.9917042176,1000.0,0.0,0.0
2040,999.9917042176,1000.0,0.0,0.0
2100,999.9917042176,1000.0,0.0,0.0
2160,999.9917042176,1000.0,0.0,0.0
2220,999.9917042176,1000.0,0.0,0.0
2280,999.9917042176,1000.0,0.0,0.0
2340,999.9917042176,1000.0,0.0,0.0
2400,999.9917042176,1000.0,0.0,0.0
2460,999.9917042176,1000.0,0.0,0.0
2520,999.9917042176,1000.0,0.0,0.0
2580,999.9917042176,1000.0,0.0,0.0
2640,999.9917042176,1000.0,0.0,0.0
2700,999.9917042176,1000.0,0.0,0.0
2760,999.9917042176,1000.0,0.0,0.0
2820,999.9917042176,1000.0,0.0,0.0
2880,999.9917042176,1000.0,0.0,0.0
2940,999.9917042176,1000.0,0.0,0.0
3000,999.9917042176,1000.0,0.0,0.0
3060,999.9917042176,1000.0,0.0,0.0
3120,999.9917042176,1000.0,0.0,0.0
3180,999.9917042176,1000.0,0.0,0.0
3240,999.9917042176,1000.0,0.0,0.0
3300,999.9917042176,1000.0,0.0,0.0
3360,999.9917042176,1000.0,0.0,0.0
3420,999.9917042176,1000.0,0.0,0.0
3480,999.9917042176,1000.0,0.0,0.0
3540,999.9917042176,1000.0,0.0,0.0
3600,999.9917042176,1000.0,0.0,0.0
3660,999.9917042176,1000.0,0.0,0.0
3720,999.9917042176,1000.0,0.0,0.0
3780,999.9917042176,1000.0,0.0,0.0
3840,999.9917042176,1000.0,0.0,0.0
3900,999.9917042176,1000.0,0.0,0.0
3960,999.9917042176,1000.0,0.0,0.0
4020,999.9917042176,1000.0,0.0,0.0
4080,999.9917042176,999.8596822176,0.0,-0.1320219999999967
4140,1000.2631004176001,999.8716842176001,0.0,-0.12002000000000032
4200,1000.2631004176001,1000.2034854176001,0.0,-0.05961500000000274
4260,1000.2631004176001,1000.1081014176001,0.0,-0.1549989999999999
4320,1000.2631004176001,1000.1677164176001,0.0,-0.09538400000000231
4380,1000.2631004176001,1000.2631004176001,0.0,0.0
4440,1000.2631004176001,1000.1915624176,0.0,-0.07153799999999916
4500,1000.4932143176001,1000.3107924176,0.0,0.04769200000000116
4560,1000.4932143176001,1000.4932143176001,0.0,0.0
4620,1000.4849145176,1000.4932143176001,0.0,0.0
4680,1000.4849145176,1000.4968395176,0.0,0.011925000000001584
4740,1000.4849145176,1000.4610645176,0.0,-0.023849999999997994
4800,1000.7150670176001,1000.4372145176001,0.0,-0.04770000000000116
4860,1000.7067650056001,1000.7150670176001,0.0,0.0
4920,1000.7067650056001,1000.7424470056001,0.0,0.035681999999999575
4980,1000.7067650056001,1000.2072170056001,0.0,-0.49954799999999927
5040,1000.7067650056001,1000.3261570056001,0.0,-0.38060799999999895
5100,1000.9362954176001,1000.5759310056001,0.0,-0.1308340000000019
5160,1000.9362954176001,1000.9362954176001,0.0,0.0
5220,1000.9362954176001,1000.9362954176001,0.0,0.0
5280,1000.9362954176001,1000.9362954176001,0.0,0.0
5340,1000.9362954176001,1000.9362954176001,0.0,0.0
5400,1000.9279913176001,1000.9362954176001,0.0,0.0
5460,1000.9279913176001,1000.9754433176001,0.0,0.04745200000000115
5520,1000.9279913176001,1001.0110323176001,0.0,0.08304100000000073
5580,1000.9279913176001,1000.7619093176002,0.0,-0.16608200000000145
5640,1000.9279913176001,1000.6670053176001,0.0,-0.2609859999999986
5700,1000.9279913176001,1000.6432793176001,0.0,-0.2847120000000018
5760,1000.9279913176001,1000.9873063176001,0.0,0.059314999999997585
5820,1001.1568997656001,1001.0584843176001,0.0,0.13049299999999675
5880,1001.1568997656001,1001.1568997656001,0.0,0.0
5940,1001.1568997656001,1001.1568997656001,0.0,0.0
6000,1001.1568997656001,1001.1568997656001,0.0,0.0
6060,1001.1568997656001,1001.1568997656001,0.0,0.0
6120,1001.1485939736001,1001.1568997656001,0.0,0.0
6180,1001.1485939736001,1001.1249979736001,0.0,-0.023596000000003132
6240,1001.1485939736001,1000.9834219736001,0.0,-0.16517200000000146
6300,1001.1485939736001,1000.6648759736001,0.0,-0.4837180000000028
6360,1001.1485939736001,999.9333999736001,0.0,-1.2151940000000028
6420,1001.1485939736001,1000.5940879736002,0.0,-0.5545060000000019
6480,1001.1485939736001,1000.4761079736,0.0,-0.6724860000000022
6540,1001.1485939736001,1000.0749759736001,0.0,-1.0736179999999993
6600,1001.1485939736001,999.9923899736001,0.0,-1.156204
6660,1001.1405949296001,1000.0513799736001,0.0,-1.0972140000000024
6720,1001.1405949296001,999.4888749296001,0.0,-1.651719999999994
6780,1001.1405949296001,999.6540469296001,0.0,-1.4865479999999927
6840,1001.1405949296001,1000.0551789296001,0.0,-1.0854159999999906
6900,1001.1405949296001,999.8900069296001,0.0,-1.250587999999992
6960,1001.1405949296001,999.4888749296001,0.0,-1.651719999999994
7020,1001.1405949296001,998.3326709296001,0.0,-2.807923999999994
7080,1001.1405949296001,999.1113389296,0.0,-2.029255999999993
7140,1001.1405949296001,999.2057229296,0.0,-1.9348719999999908
7200,1001.1405949296001,999.5832589296001,0.0,-1.5573359999999918
7260,1001.1405949296001,998.7809949296001,0.0,-2.359599999999996
7320,1001.1405949296001,999.1821269296,0.0,-1.9584679999999939
7380,1001.1405949296001,998.7809949296001,0.0,-2.359599999999996
7440,1001.1405949296001,999.5124709296001,0.0,-1.628123999999991
7500,1001.1405949296001,999.1821269296,0.0,-1.9584679999999939
7560,1001.1405949296001,998.9461669296,0.0,-2.1944279999999945
7620,1001.1405949296001,999.4888749296001,0.0,-1.651719999999994
7680,1001.1405949296001,1000.2675429296,0.0,-0.8730519999999931
7740,1001.1405949296001,1000.7394629296001,0.0,-0.40113199999999183
7800,1001.7140721136001,1001.5181309296,0.0,0.3775360000000092
7860,1001.7140721136001,1001.7140721136001,0.0,0.0
7920,1001.7140721136001,1001.7140721136001,0.0,0.0
