,balance,equity,balance_btc,equity_btc
0,999.9917042176,1000.0,0.0,0.0
60,999.9917042176,1000.0,0.0,0.0
120,999.9917042176,1000.0,0.0,0.0
180,999.9917042176,1000.0,0.0,0.0
240,999.9917042176,1000.0,0.0,0.0
300,999.9917042176,1000.0,0.0,0.0
360,999.9917042176,1000.0,0.0,0.0
420,999.9917042176,1000.0,0.0,0.0
480,999.9917042176,1000.0,0.0,0.0
540,999.9917042176,1000.0,0.0,0.0
600,999.9917042176,1000.0,0.0,0.0
660,999.9917042176,1000.0,0.0,0.0
720,999.9917042176,1000.0,0.0,0.0
780,999.9917042176,1000.0,0.0,0.0
840,999.9917042176,1000.0,0.0,0.0
900,999.9917042176,1000.0,0.0,0.0
960,999.9917042176,1000.0,0.0,0.0
1020,999.9917042176,1000.0,0.0,0.0
1080,999.9917042176,1000.0,0.0,0.0
1140,999.9917042176,1000.0,0.0,0.0
1200,999.9917042176,1000.0,0.0,0.0
1260,999.9917042176,1000.0,0.0,0.0
1320,999.9917042176,1000.0,0.0,0.0
1380,999.9917042176,1000.0,0.0,0.0
1440,999.9917042176,1000.0,0.0,0.0
1500,999.9917042176,1000.0,0.0,0.0
1560,999.9917042176,1000.0,0.0,0.0
1620,999.9917042176,1000.0,0.0,0.0
1680,999.9917042176,1000.0,0.0,0.0
1740,999.9917042176,1000.0,0.0,0.0
1800,999.9917042176,1000.0,0.0,0.0
1860,999.9917042176,1000.0,0.0,0.0
1920,999.9917042176,1000.0,0.0,0.0
1980,999.9917042176,1000.0,0.0,0.0
2040,999.9917042176,1000.0,0.0,0.0
2100,999.9917042176,1000.0,0.0,0.0
2160,999.9917042176,1000.0,0.0,0.0
2220,999.9917042176,1000.0,0.0,0.0
2280,999.9917042176,1000.0,0.0,0.0
2340,999.9917042176,1000.0,0.0,0.0
2400,999.9917042176,1000.0,0.0,0.0
2460,999.9917042176,1000.0,0.0,0.0
2520,999.9917042176,1000.0,0.0,0.0
2580,999.9917042176,1000.0,0.0,0.0
2640,999.9917042176,1000.0,0.0,0.0
2700,999.9917042176,1000.0,0.0,0.0
2760,999.9917042176,1000.0,0.0,0.0
2820,999.9917042176,1000.0,0.0,0.0
2880,999.9917042176,1000.0,0.0,0.0
2940,999.9917042176,1000.0,0.0,0.0
3000,999.9917042176,1000.0,0.0,0.0
3060,999.9917042176,1000.0,0.0,0.0
3120,999.9917042176,1000.0,0.0,0.0
3180,999.9917042176,1000.0,0.0,0.0
3240,999.9917042176,1000.0,0.0,0.0
3300,999.9917042176,1000.0,0.0,0.0
3360,999.9917042176,1000.0,0.0,0.0
3420,999.9917042176,1000.0,0.0,0.0
3480,999.9917042176,1000.0,0.0,0.0
3540,999.9917042176,1000.0,0.0,0.0
3600,999.9917042176,1000.0,0.0,0.0
3660,999.9917042176,1000.0,0.0,0.0
3720,999.9917042176,1000.0,0.0,0.0
3780,999.9917042176,1000.0,0.0,0.0
3840,999.9917042176,1000.0,0.0,0.0
3900,999.9917042176,1000.0,0.0,0.0
3960,999.9917042176,1000.0,0.0,0.0
4020,999.9917042176,1000.0,0.0,0.0
4080,999.9917042176,999.8596822176,0.0,-0.1320219999999967
4140,1000.1431058326001,999.8716842176001,0.0,-0.12002000000000032
4200,1000.1431058326001,1000.1669958326002,0.0,0.02388999999999799
4260,1000.1431058326001,1000.0714358326001,0.0,-0.07166999999999915
4320,1000.1431058326001,1000.1311608326001,0.0,-0.011945000000001586
4380,1000.3295347006001,1000.2267208326001,0.0,0.08361500000000074
4440,1000.3295347006001,1000.1393107006002,0.0,-0.19022399999999948
4500,1000.3295347006001,1000.2582007006001,0.0,-0.07133399999999916
4560,1000.3295347006001,1000.4008687006001,0.0,0.07133399999999916
4620,1000.3295347006001,1000.4722027006001,0.0,0.14266799999999832
4680,1000.3295347006001,1000.2225337006001,0.0,-0.10700099999999874
4740,1000.3295347006001,1000.1868667006001,0.0,-0.14266799999999832
4800,1000.5506680226001,1000.1630887006002,0.0,-0.16644600000000148
4860,1000.5506680226001,1000.4558040226001,0.0,-0.09486400000000231
4920,1000.5506680226001,1000.4676620226002,0.0,-0.08300600000000073
4980,1000.5506680226001,999.9340520226001,0.0,-0.6166159999999996
5040,1000.5506680226001,1000.0526320226002,0.0,-0.49803599999999926
5100,1001.0000471466001,1000.3016500226001,0.0,-0.24901800000000218
5160,1001.2206514946,1001.0000471466001,0.0,0.0
5220,1001.4406320386,1001.2206514946,0.0,0.0
5280,1001.6523587846001,1001.4406320386,0.0,0.0
5340,1001.6523587846001,1001.7707287846001,0.0,0.11837000000000031
5400,1001.8724304386001,1001.8417507846001,0.0,0.18939199999999948
5460,1001.8724304386001,1001.6835344386001,0.0,-0.18889599999999948
5520,1001.8724304386001,1001.7189524386001,0.0,-0.1534779999999999
5580,1001.8724304386001,1001.4710264386001,0.0,-0.4014040000000021
5640,1001.8724304386001,1001.3765784386001,0.0,-0.49585199999999924
5700,1001.8724304386001,1001.3529664386001,0.0,-0.5194640000000024
5760,1001.8724304386001,1001.6953404386,0.0,-0.17709000000000302
5820,1001.8724304386001,1001.7661764386,0.0,-0.10625400000000386
5880,1001.8724304386001,1001.8015944386001,0.0,-0.07083599999999916
5940,1002.1001917906001,1001.9078484386001,0.0,0.03541799999999958
6000,1002.1001917906001,1002.1001917906001,0.0,0.0
6060,1002.1001917906001,1002.1001917906001,0.0,0.0
6120,1002.0918784546001,1002.1001917906001,0.0,0.0
6180,1002.0918784546001,1001.8335544546001,0.0,-0.2583240000000037
6240,1002.0918784546001,1001.6926504546001,0.0,-0.3992280000000021
6300,1002.0918784546001,1001.3756164546,0.0,-0.7162620000000034
6360,1002.0918784546001,1000.6476124546001,0.0,-1.4442660000000034
6420,1002.0918784546001,1001.3051644546001,0.0,-0.7867140000000026
6480,1002.0918784546001,1001.1877444546001,0.0,-0.9041340000000029
6540,1002.0918784546001,1000.7885164546001,0.0,-1.303362
6600,1002.0918784546001,1000.7063224546001,0.0,-1.3855560000000007
6660,1002.0796900486001,1000.7650324546,0.0,-1.326846000000003
6720,1002.0796900486001,1000.1697950486001,0.0,-1.9098949999999915
6780,1002.0796900486001,1000.3778280486001,0.0,-1.7018619999999898
6840,1002.0796900486001,1000.8830510486001,0.0,-1.1966389999999871
6900,1002.0796900486001,1000.6750180486001,0.0,-1.4046719999999888
6960,1002.0796900486001,1000.1697950486001,0.0,-1.9098949999999915
7020,1002.0796900486001,998.7135640486001,0.0,-3.3661259999999915
7080,1002.0796900486001,999.6942910486001,0.0,-2.3853989999999903
7140,1002.0796900486001,999.8131670486001,0.0,-2.2665229999999874
7200,1002.0796900486001,1000.2886710486001,0.0,-1.7910189999999886
7260,1002.0796900486001,999.2782250486001,0.0,-2.8014649999999937
7320,1002.0796900486001,999.7834480486001,0.0,-2.296241999999991
7380,1002.0796900486001,999.2782250486001,0.0,-2.8014649999999937
7440,1002.0796900486001,1000.1995140486001,0.0,-1.8801759999999876
7500,1002.0796900486001,999.7834480486001,0.0,-2.296241999999991
7560,1002.0796900486001,999.4862580486001,0.0,-2.593431999999992
7620,1002.0796900486001,1000.1697950486001,0.0,-1.9098949999999915
7680,1002.0796900486001,1001.1505220486001,0.0,-0.9291679999999902
7740,1002.0796900486001,1001.7449020486001,0.0,-0.33478799999998865
