,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4035,DOGE,0.0,-0.0082957824,999.9917042176,0.0,999.9917042176,1.0,12002.0,0.003456,12002.0,0.003456,entry_initial_normal_long
1,4161,DOGE,0.16802800000000148,-0.008329388,1000.1514028296001,0.0,1000.1514028296001,1.0,-12002.0,0.00347,0.0,0.003456,close_grid_long
2,4162,DOGE,0.0,-0.008296997,1000.1431058326001,0.0,1000.1431058326001,1.0,11945.0,0.003473,11945.0,0.003473,entry_initial_normal_long
3,4383,DOGE,0.20306500000000105,-0.00833761,1000.3378332226001,0.0,1000.3378332226001,1.0,-11945.0,0.00349,0.0,0.003473,close_grid_long
4,4386,DOGE,0.0,-0.008298522000000001,1000.3295347006001,0.0,1000.3295347006001,1.0,11889.0,0.00349,11889.0,0.00349,entry_initial_normal_long
5,4841,DOGE,0.23778000000000063,-0.008346078,1000.5589686226001,0.0,1000.5589686226001,1.0,-11889.0,0.00351,0.0,0.00349,close_grid_long
6,4855,DOGE,0.0,-0.0083006,1000.5506680226001,0.0,1000.5506680226001,1.0,11858.0,0.0035,11858.0,0.0035,entry_initial_normal_long
7,5120,DOGE,0.23716000000000062,-0.008348032000000002,1000.7794799906001,0.0,1000.7794799906001,1.0,-11858.0,0.00352,0.0,0.0035,close_grid_long
8,5135,DOGE,0.0,-0.0083027,1000.7711772906001,0.0,1000.7711772906001,1.0,11861.0,0.0035,11861.0,0.0035,entry_initial_normal_long
9,5152,DOGE,0.23722000000000062,-0.008350144,1001.0000471466001,0.0,1001.0000471466001,1.0,-11861.0,0.00352,0.0,0.0035,close_grid_long
10,5184,DOGE,0.0,-0.0083041,1000.9917430466,0.0,1000.9917430466,1.0,11863.0,0.0035,11863.0,0.0035,entry_initial_normal_long
11,5200,DOGE,0.2372600000000006,-0.008351552000000002,1001.2206514946,0.0,1001.2206514946,1.0,-11863.0,0.00352,0.0,0.0035,close_grid_long
12,5262,DOGE,0.0,-0.008306064000000002,1001.2123454306001,0.0,1001.2123454306001,1.0,11832.0,0.00351,11832.0,0.00351,entry_initial_normal_long
13,5265,DOGE,0.23664000000000063,-0.008353392000000001,1001.4406320386,0.0,1001.4406320386,1.0,-11832.0,0.00353,0.0,0.00351,close_grid_long
14,5303,DOGE,0.0,-0.00830817,1001.4323238686001,0.0,1001.4323238686001,1.0,11835.0,0.00351,11835.0,0.00351,entry_initial_normal_long
15,5304,DOGE,0.23670000000000063,-0.008355510000000002,1001.6606683586001,0.0,1001.6606683586001,1.0,-11835.0,0.00353,0.0,0.00351,close_grid_long
16,5318,DOGE,0.0,-0.008309574000000002,1001.6523587846001,0.0,1001.6523587846001,1.0,11837.0,0.00351,11837.0,0.00351,entry_initial_normal_long
17,5406,DOGE,0.23674000000000062,-0.008356922000000001,1001.8807418626001,0.0,1001.8807418626001,1.0,-11837.0,0.00353,0.0,0.00351,close_grid_long
18,5409,DOGE,0.0,-0.008311424000000001,1001.8724304386001,0.0,1001.8724304386001,1.0,11806.0,0.00352,11806.0,0.00352,entry_initial_normal_long
19,5941,DOGE,0.2361200000000006,-0.008358648000000002,1002.1001917906001,0.0,1002.1001917906001,1.0,-11806.0,0.00354,0.0,0.00352,close_grid_long
20,6145,DOGE,0.0,-0.008313336000000001,1002.0918784546001,0.0,1002.0918784546001,1.0,11742.0,0.00354,11742.0,0.00354,entry_initial_normal_long
21,6672,DOGE,0.0,-0.012188405999999999,1002.0796900486001,0.0,1002.0796900486001,1.0,17977.0,0.00339,29719.0,0.003449265116592079,entry_grid_normal_long
22,7800,DOGE,0.6162200000000086,-0.020624986,1002.6752850626001,0.0,1002.6752850626001,1.0,-29719.0,0.00347,0.0,0.003449265116592079,close_grid_long
23,8046,DOGE,0.0,-0.008317950000000001,1002.6669671126001,0.0,1002.6669671126001,1.0,12055.0,0.00345,12055.0,0.00345,entry_initial_normal_long
24,8070,DOGE,0.24110000000000062,-0.00836617,1002.8997009426001,0.0,1002.8997009426001,1.0,-12055.0,0.00347,0.0,0.00345,close_grid_long
25,8176,DOGE,0.0,-0.008319916000000002,1002.8913810266001,0.0,1002.8913810266001,1.0,12023.0,0.00346,12023.0,0.00346,entry_initial_normal_long
26,8183,DOGE,0.24046000000000062,-0.008368008000000001,1003.1234730186002,0.0,1003.1234730186002,1.0,-12023.0,0.00348,0.0,0.00346,close_grid_long
27,8186,DOGE,0.0,-0.008321992,1003.1151510266002,0.0,1003.1151510266002,1.0,12026.0,0.00346,12026.0,0.00346,entry_initial_normal_long
28,8281,DOGE,0.24052000000000062,-0.008370096,1003.3473009306002,0.0,1003.3473009306002,1.0,-12026.0,0.00348,0.0,0.00346,close_grid_long
29,8290,DOGE,0.0,-0.008323836000000001,1003.3389770946002,0.0,1003.3389770946002,1.0,11994.0,0.00347,11994.0,0.00347,entry_initial_normal_long
30,8476,DOGE,0.23988000000000062,-0.008371812000000001,1003.5704852826002,0.0,1003.5704852826002,1.0,-11994.0,0.00349,0.0,0.00347,close_grid_long
