,balance,equity,balance_btc,equity_btc
0,1000.17959646,1000.0,0.0,0.0
60,1000.17959646,1000.0,0.0,0.0
120,1000.17959646,1000.0,0.0,0.0
180,1000.17959646,1000.0,0.0,0.0
240,1000.17959646,1000.0,0.0,0.0
300,1000.17959646,1000.0,0.0,0.0
360,1000.17959646,1000.0,0.0,0.0
420,1000.17959646,1000.0,0.0,0.0
480,1000.17959646,1000.0,0.0,0.0
540,1000.17959646,1000.0,0.0,0.0
600,1000.17959646,1000.0,0.0,0.0
660,1000.17959646,1000.0,0.0,0.0
720,1000.17959646,1000.0,0.0,0.0
780,1000.17959646,1000.0,0.0,0.0
840,1000.17959646,1000.0,0.0,0.0
900,1000.17959646,1000.0,0.0,0.0
960,1000.17959646,1000.0,0.0,0.0
1020,1000.17959646,1000.0,0.0,0.0
1080,1000.17959646,1000.0,0.0,0.0
1140,1000.17959646,1000.0,0.0,0.0
1200,1000.17959646,1000.0,0.0,0.0
1260,1000.17959646,1000.0,0.0,0.0
1320,1000.17959646,1000.0,0.0,0.0
1380,1000.17959646,1000.0,0.0,0.0
1440,1000.17959646,1000.0,0.0,0.0
1500,1000.17959646,1000.0,0.0,0.0
1560,1000.17959646,1000.0,0.0,0.0
1620,1000.17959646,1000.0,0.0,0.0
1680,1000.17959646,1000.0,0.0,0.0
1740,1000.17959646,1000.0,0.0,0.0
1800,1000.17959646,1000.0,0.0,0.0
1860,1000.17959646,1000.0,0.0,0.0
1920,1000.17959646,1000.0,0.0,0.0
1980,1000.17959646,1000.0,0.0,0.0
2040,1000.17959646,1000.0,0.0,0.0
2100,1000.17959646,1000.0,0.0,0.0
2160,1000.17959646,1000.0,0.0,0.0
2220,1000.17959646,1000.0,0.0,0.0
2280,1000.17959646,1000.0,0.0,0.0
2340,1000.17959646,1000.0,0.0,0.0
2400,1000.17959646,1000.0,0.0,0.0
2460,1000.17959646,1000.0,0.0,0.0
2520,1000.17959646,1000.0,0.0,0.0
2580,1000.17959646,1000.0,0.0,0.0
2640,1000.17959646,1000.0,0.0,0.0
2700,1000.17959646,1000.0,0.0,0.0
2760,1000.17959646,1000.0,0.0,0.0
2820,1000.17959646,1000.0,0.0,0.0
2880,1000.17959646,1000.0,0.0,0.0
2940,1000.17959646,1000.0,0.0,0.0
3000,1000.17959646,1000.0,0.0,0.0
3060,1000.17959646,1000.0,0.0,0.0
3120,1000.17959646,1000.0,0.0,0.0
3180,1000.17959646,1000.0,0.0,0.0
3240,1000.17959646,1000.0,0.0,0.0
3300,1000.17959646,1000.0,0.0,0.0
3360,1000.17959646,1000.0,0.0,0.0
3420,1000.17959646,1000.0,0.0,0.0
3480,1000.17959646,1000.0,0.0,0.0
3540,1000.17959646,1000.0,0.0,0.0
3600,1000.17959646,1000.0,0.0,0.0
3660,1000.17959646,1000.0,0.0,0.0
3720,1000.17959646,1000.0,0.0,0.0
3780,1000.17959646,1000.0,0.0,0.0
3840,1000.17959646,1000.0,0.0,0.0
3900,1000.17959646,1000.0,0.0,0.0
3960,1000.17959646,1000.0,0.0,0.0
4020,1000.17959646,1000.0,0.0,0.0
4080,1001.1042254199998,1000.17959646,0.0,0.0
4140,1001.2950042399998,1000.7556254199998,0.0,-0.3486000000000003
4200,1002.79340424,1001.7115942399997,0.0,0.42500000000000315
4260,1002.79340424,1002.81840424,0.0,0.024999999999997247
4320,1002.79340424,1002.04340424,0.0,-0.7500000000000007
4380,1002.79340424,1001.94340424,0.0,-0.8500000000000008
4440,1003.34277924,1002.89340424,0.0,0.10000000000000009
4500,1003.5343192400001,1003.09277924,0.0,-0.2500000000000002
4560,1003.5343192400001,1003.5343192400001,0.0,0.0
4620,1003.8904788800002,1003.5343192400001,0.0,0.0
4680,1004.0727957200002,1003.9153788800002,0.0,0.024900000000002784
4740,1004.2543267600003,1003.9735957200002,0.0,-0.0992000000000001
4800,1004.6173392400002,1004.4442650000002,0.0,0.0
4860,1004.6173392400002,1004.7165392400002,0.0,0.0992000000000001
4920,1004.6173392400002,1003.7989392400002,0.0,-0.818399999999998
4980,1004.6173392400002,1003.7245392400002,0.0,-0.8928000000000008
5040,1004.6173392400002,1003.6501392400002,0.0,-0.9671999999999982
5100,1004.6173392400002,1002.8565392400002,0.0,-1.7607999999999988
5160,1004.6173392400002,1003.1541392400002,0.0,-1.4631999999999985
5220,1004.6094131600003,1002.7325392400002,0.0,-1.8847999999999963
5280,1004.6094131600003,1001.8814131600003,0.0,-2.727999999999997
5340,1004.6094131600003,1000.8894131600002,0.0,-3.719999999999998
5400,1004.6094131600003,1001.5838131600003,0.0,-3.025599999999997
5460,1004.6094131600003,1001.4350131600003,0.0,-3.174400000000003
5520,1004.6094131600003,1002.0798131600003,0.0,-2.5295999999999967
5580,1004.6094131600003,1002.0798131600003,0.0,-2.5295999999999967
5640,1004.6094131600003,1002.1294131600002,0.0,-2.480000000000002
5700,1004.6094131600003,1002.6254131600002,0.0,-1.9840000000000018
5760,1004.6094131600003,1002.8734131600003,0.0,-1.735999999999996
5820,1004.6094131600003,1003.4686131600002,0.0,-1.1408000000000065
5880,1004.6094131600003,1003.5678131600002,0.0,-1.0416000000000065
5940,1004.6094131600003,1003.4190131600003,0.0,-1.190400000000001
