,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4034,INJ,0.0,-0.00838144,999.99161856,0.0,999.99161856,1.0,25.6,1.637,25.6,1.637,entry_initial_normal_long
1,4048,INJ,0.2048000000000002,-0.0084224,1000.18799616,0.0,1000.18799616,1.0,-25.6,1.645,0.0,1.637,close_grid_long
2,4050,INJ,0.0,-0.0083997,1000.17959646,0.0,1000.17959646,1.0,25.5,1.647,25.5,1.647,entry_initial_normal_long
3,4095,INJ,0.20400000000000018,-0.0084405,1000.3751559599999,0.0,1000.3751559599999,1.0,-25.5,1.655,0.0,1.647,close_grid_long
4,4096,INJ,0.0,-0.00839724,1000.3667587199999,0.0,1000.3667587199999,1.0,25.4,1.653,25.4,1.653,entry_initial_normal_long
5,4098,INJ,0.20320000000000016,-0.00843788,1000.5615208399998,0.0,1000.5615208399998,1.0,-25.4,1.661,0.0,1.653,close_grid_long
6,4099,INJ,0.0,-0.008378380000000001,1000.5531424599999,0.0,1000.5531424599999,1.0,25.1,1.669,25.1,1.669,entry_initial_normal_long
7,4105,INJ,0.2008000000000002,-0.00841854,1000.7455239199999,0.0,1000.7455239199999,1.0,-25.1,1.677,0.0,1.669,close_grid_long
8,4106,INJ,0.0,-0.008408500000000001,1000.7371154199999,0.0,1000.7371154199999,1.0,25.1,1.675,25.1,1.675,entry_initial_normal_long
9,4107,INJ,0.2008000000000002,-0.008448660000000002,1000.9294667599999,0.0,1000.9294667599999,1.0,-25.1,1.683,0.0,1.675,close_grid_long
10,4108,INJ,0.0,-0.008409999999999999,1000.9210567599998,0.0,1000.9210567599998,1.0,25.0,1.682,25.0,1.682,entry_initial_normal_long
11,4114,INJ,0.20000000000000018,-0.008450000000000001,1001.1126067599998,0.0,1001.1126067599998,1.0,-25.0,1.69,0.0,1.682,close_grid_long
12,4119,INJ,0.0,-0.008381340000000001,1001.1042254199998,0.0,1001.1042254199998,1.0,24.9,1.683,24.9,1.683,entry_initial_normal_long
13,4198,INJ,0.19920000000000015,-0.00842118,1001.2950042399998,0.0,1001.2950042399998,1.0,-24.9,1.691,0.0,1.683,close_grid_long
14,4200,INJ,0.0,-0.008409999999999999,1001.2865942399998,0.0,1001.2865942399998,1.0,25.0,1.682,25.0,1.682,entry_initial_normal_long
15,4201,INJ,0.42500000000000315,-0.008495,1001.7030992399998,0.0,1001.7030992399998,1.0,-25.0,1.699,0.0,1.682,close_grid_long
