,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4034,TIA,0.0,-0.0065934,999.9934066,0.0,999.9934066,1.0,5.0,6.5934,5.0,6.5934,entry_initial_normal_long
1,4039,TIA,0.1354999999999995,-0.0066205000000000005,1000.1222861,0.0,1000.1222861,1.0,-5.0,6.6205,0.0,6.5934,close_grid_long
2,4040,TIA,0.0,-0.0066278,1000.1156583,0.0,1000.1156583,1.0,5.0,6.6278,5.0,6.6278,entry_initial_normal_long
3,4054,TIA,0.13650000000000162,-0.006655100000000001,1000.2455031999999,0.0,1000.2455031999999,1.0,-5.0,6.6551,0.0,6.6278,close_grid_long
4,4055,TIA,0.0,-0.0066527,1000.2388504999999,0.0,1000.2388504999999,1.0,5.0,6.6527,5.0,6.6527,entry_initial_normal_long
5,4062,TIA,0.13700000000000045,-0.0066801000000000004,1000.3691703999999,0.0,1000.3691703999999,1.0,-5.0,6.6801,0.0,6.6527,close_grid_long
6,4063,TIA,0.0,-0.006673000000000001,1000.3624973999999,0.0,1000.3624973999999,1.0,5.0,6.673,5.0,6.673,entry_initial_normal_long
7,4158,TIA,0.0,-0.006042700000000001,1000.3564547,0.0,1000.3564547,1.0,5.0,6.0427,10.0,6.35785,entry_grid_normal_long
8,4794,TIA,0.0,-0.00784812,1000.34860658,0.0,1000.34860658,1.0,7.0,5.6058,17.0,6.0481823529411765,entry_grid_normal_long
9,5232,TIA,0.0,-0.0124524,1000.33615418,0.0,1000.33615418,1.0,12.0,5.1885,29.0,5.69245172413793,entry_grid_normal_long
10,5302,TIA,0.740900000000023,-0.033164400000000004,1001.04388978,0.0,1001.04388978,1.0,-29.0,5.718,0.0,5.69245172413793,close_grid_long
11,5303,TIA,0.0,-0.006825,1001.0370647799999,0.0,1001.0370647799999,1.0,6.0,5.6875,6.0,5.6875,entry_initial_normal_long
12,5956,TIA,0.14039999999999786,-0.00685308,1001.1706116999999,0.0,1001.1706116999999,1.0,-6.0,5.7109,0.0,5.6875,close_grid_long
13,6187,TIA,0.0,-0.00680412,1001.1638075799999,0.0,1001.1638075799999,1.0,6.0,5.6701,6.0,5.6701,entry_initial_normal_long
14,6213,TIA,0.13979999999999926,-0.006832079999999999,1001.2967755,0.0,1001.2967755,1.0,-6.0,5.6934,0.0,5.6701,close_grid_long
15,6217,TIA,0.0,-0.00680544,1001.28997006,0.0,1001.28997006,1.0,6.0,5.6712,6.0,5.6712,entry_initial_normal_long
16,6251,TIA,0.13979999999999926,-0.006833400000000001,1001.42293666,0.0,1001.42293666,1.0,-6.0,5.6945,0.0,5.6712,close_grid_long
