,balance,equity,balance_btc,equity_btc
0,999.9989998336,1000.0,0.0,0.0
60,999.9989998336,1000.0,0.0,0.0
120,999.9989998336,1000.0,0.0,0.0
180,999.9989998336,1000.0,0.0,0.0
240,999.9989998336,1000.0,0.0,0.0
300,999.9989998336,1000.0,0.0,0.0
360,999.9989998336,1000.0,0.0,0.0
420,999.9989998336,1000.0,0.0,0.0
480,999.9989998336,1000.0,0.0,0.0
540,999.9989998336,1000.0,0.0,0.0
600,999.9989998336,1000.0,0.0,0.0
660,999.9989998336,1000.0,0.0,0.0
720,999.9989998336,1000.0,0.0,0.0
780,999.9989998336,1000.0,0.0,0.0
840,999.9989998336,1000.0,0.0,0.0
900,999.9989998336,1000.0,0.0,0.0
960,999.9989998336,1000.0,0.0,0.0
1020,999.9989998336,1000.0,0.0,0.0
1080,999.9989998336,1000.0,0.0,0.0
1140,999.9989998336,1000.0,0.0,0.0
1200,999.9989998336,1000.0,0.0,0.0
1260,999.9989998336,1000.0,0.0,0.0
1320,999.9989998336,1000.0,0.0,0.0
1380,999.9989998336,1000.0,0.0,0.0
1440,999.9989998336,1000.0,0.0,0.0
1500,999.9989998336,1000.0,0.0,0.0
1560,999.9989998336,1000.0,0.0,0.0
1620,999.9989998336,1000.0,0.0,0.0
1680,999.9989998336,1000.0,0.0,0.0
1740,999.9989998336,1000.0,0.0,0.0
1800,999.9989998336,1000.0,0.0,0.0
1860,999.9989998336,1000.0,0.0,0.0
1920,999.9989998336,1000.0,0.0,0.0
1980,999.9989998336,1000.0,0.0,0.0
2040,999.9989998336,1000.0,0.0,0.0
2100,999.9989998336,1000.0,0.0,0.0
2160,999.9989998336,1000.0,0.0,0.0
2220,999.9989998336,1000.0,0.0,0.0
2280,999.9989998336,1000.0,0.0,0.0
2340,999.9989998336,1000.0,0.0,0.0
2400,999.9989998336,1000.0,0.0,0.0
2460,999.9989998336,1000.0,0.0,0.0
2520,999.9989998336,1000.0,0.0,0.0
2580,999.9989998336,1000.0,0.0,0.0
2640,999.9989998336,1000.0,0.0,0.0
2700,999.9989998336,1000.0,0.0,0.0
2760,999.9989998336,1000.0,0.0,0.0
2820,999.9989998336,1000.0,0.0,0.0
2880,999.9989998336,1000.0,0.0,0.0
2940,999.9989998336,1000.0,0.0,0.0
3000,999.9989998336,1000.0,0.0,0.0
3060,999.9989998336,1000.0,0.0,0.0
3120,999.9989998336,1000.0,0.0,0.0
3180,999.9989998336,1000.0,0.0,0.0
3240,999.9989998336,1000.0,0.0,0.0
3300,999.9989998336,1000.0,0.0,0.0
3360,999.9989998336,1000.0,0.0,0.0
3420,999.9989998336,1000.0,0.0,0.0
3480,999.9989998336,1000.0,0.0,0.0
3540,999.9989998336,1000.0,0.0,0.0
3600,999.9989998336,1000.0,0.0,0.0
3660,999.9989998336,1000.0,0.0,0.0
3720,999.9989998336,1000.0,0.0,0.0
3780,999.9989998336,1000.0,0.0,0.0
3840,999.9989998336,1000.0,0.0,0.0
3900,999.9989998336,1000.0,0.0,0.0
3960,999.9989998336,1000.0,0.0,0.0
4020,999.9989998336,1000.0,0.0,0.0
4080,999.9989998336,999.9830828336001,0.0,-0.0159169999999996
4140,1000.0317205696,999.9845298336,0.0,-0.014470000000000038
4200,1000.0317205696,1000.0245355696,0.0,-0.00718500000000033
4260,1000.0317205696,1000.0130395696,0.0,-0.018680999999999986
4320,1000.0317205696,1000.0202245696,0.0,-0.01149600000000028
4380,1000.0317205696,1000.0317205696,0.0,0.0
4440,1000.0317205696,1000.0230985696,0.0,-0.008621999999999897
4500,1000.0584544356,1000.0374685696,0.0,0.00574800000000014
4560,1000.0584544356,1000.0670524356,0.0,0.008597999999999897
4620,1000.0584544356,1000.0756504356,0.0,0.017195999999999795
4680,1000.0584544356,1000.0455574356,0.0,-0.012896999999999848
4740,1000.0584544356,1000.0412584356,0.0,-0.017195999999999795
4800,1000.0861084695999,1000.0383924355999,0.0,-0.020062000000000177
4860,1000.0851082355999,1000.0861084695999,0.0,0.0
4920,1000.2464297851999,1000.0894072355999,0.0,0.004298999999999949
4980,1000.2464297851999,1000.2247697851999,0.0,-0.021659999999999742
5040,1000.2464297851999,1000.2392097851999,0.0,-0.007219999999999706
5100,1000.2844098731999,1000.2695337851999,0.0,0.023103999999999937
5160,1000.2844098731999,1000.2844098731999,0.0,0.0
5220,1000.3109835572,1000.2844098731999,0.0,0.0
5280,1000.3099832071999,1000.3109835572,0.0,0.0
5340,1000.3099832071999,1000.3242332071999,0.0,0.014250000000000037
